Fecha,Partido,Prediccion_IA,Probabilidad,Confianza,Resultado_Real,Acierto
2026-06-25,Curaçao vs Ivory Coast,Ivory Coast,40.95,Alto Riesgo,Victoria de Ivory Coast,Sí
2026-06-25,Ecuador vs Germany,Germany,48.79,Alto Riesgo,Victoria de Germany,Sí
2026-06-25,Japan vs Sweden,Japan,76.84,Premium,Victoria de Japan,Sí
2026-06-25,Tunisia vs Netherlands,Netherlands,83.36,Premium,Victoria de Netherlands,Sí
2026-06-25,Paraguay vs Australia,Australia,47.19,Alto Riesgo,Victoria de Australia,Sí
2026-06-25,Türkiye vs United States,United States,38.71,Alto Riesgo,Victoria de United States,Sí
